source_group,source_name,source_question,source_record_id,question,source_answer,action,duplicate_of,verification_status,verified_answer,dmbok_2017_pages,dmbok_2024_pages,notes
DAMA Practice Attempts,DAMA Attempt 1,35,dama-attempt-1-q035,Master data differs from Reference data in the following way:,"Unlike Reference data, Master data is not usually limited to predefined domain values",added,,verified,"Unlike Reference data, Master data is not usually limited to predefined domain values",352,333,
DAMA Practice Attempts,DAMA Attempt 1,36,dama-attempt-1-q036,Which of these statements are true about Metadata?,Data models are components of a Metadata repository,added,,verified,Data models are components of a Metadata repository,417,408,
DAMA Practice Attempts,DAMA Attempt 1,37,dama-attempt-1-q037,"These are examples of which type of Meta-Data: Data Stores and Data Involved, Government/ Regulatory Bodies; Roles and Responsibilities; Process Dependencies and Decomposition?",Process Meta-Data,excluded,,excluded_unverifiable,,,,"DMBOK recognizes process metadata, but the supplied DMBOK does not support this exact classification list."
DAMA Practice Attempts,DAMA Attempt 1,38,dama-attempt-1-q038,To which of the following initiatives was the establishment of an industry Meta- Data Standard essential?,EDI,excluded,,excluded_unverifiable,,,,"DMBOK says metadata standards support trading-partner exchange, but it does not directly establish the source’s unique EDI answer."
DAMA Practice Attempts,DAMA Attempt 1,39,dama-attempt-1-q039,The number of artifacts that must be searched in the Metadata repository for all Business change projects are:,There is no mandatory number of artefacts to be searched but it is highly recommended that the library is examined,excluded,,excluded_unverifiable,,,,The supplied DMBOK does not prescribe a mandatory or non-mandatory number of repository artifacts to search for every change project.
DAMA Practice Attempts,DAMA Attempt 1,40,dama-attempt-1-q040,The Metadata repository enables us to establish multiple perspectives of data. These are:,Business and Technical Perspective,added,,verified,Business and Technical Perspective,"419, 422, 423","396, 400",
DAMA Practice Attempts,DAMA Attempt 2,4,dama-attempt-2-q004,What are the primary responsibilities of a data steward?,A business role appointed to take responsibility for the quality and use of their organization's data assets,duplicate,dsp1-q010,duplicate,,,,Semantic duplicate of an existing or retained DSP question.
DAMA Practice Attempts,DAMA Attempt 2,9,dama-attempt-2-q009,Which statement best describes the relationship between documents and records?,Records are a sub-set of documents,added,,verified,Records are a sub-set of documents,315,299,
DAMA Practice Attempts,DAMA Attempt 2,11,dama-attempt-2-q011,Complete the following statement. A business rule:,Defines constraints on what can and cannot be done,duplicate,dsp1-q018,duplicate,,,,Semantic duplicate of an existing or retained DSP question.
DAMA Practice Attempts,DAMA Attempt 2,12,dama-attempt-2-q012,Which of the following statements about business rules is FALSE?,Data rules cannot be shown on a data model,added,,verified,Data rules cannot be shown on a data model,147,145,
DAMA Practice Attempts,DAMA Attempt 2,14,dama-attempt-2-q014,"In Dimensional data models, which of these is NOT true regarding Measures?",Measures can always be added across all dimensions,added,,verified,Measures can always be added across all dimensions,138,137,
DAMA Practice Attempts,DAMA Attempt 2,15,dama-attempt-2-q015,In the conceptual data model an instantiation of a particular business entity is described as:,Entity occurrence,added,,verified,Entity occurrence,145,144,
DAMA Practice Attempts,DAMA Attempt 2,16,dama-attempt-2-q016,A Data Quality dimension is:,A measurable feature or characteristic of data,added,,verified,A measurable feature or characteristic of data,454,429,
DAMA Practice Attempts,DAMA Attempt 2,17,dama-attempt-2-q017,Which of the following is NOT a stage in the Shewhart / Deming Cycle that drives the data quality improvement lifecycle?,Investigate,duplicate,dsp1-q001,duplicate,,,,Semantic duplicate of an existing or retained DSP question.
DAMA Practice Attempts,DAMA Attempt 2,18,dama-attempt-2-q018,Which of the following is NOT usually a feature of data quality improvement tools?,Data modelling,added,,verified,Data modelling,473,441,
DAMA Practice Attempts,DAMA Attempt 2,22,dama-attempt-2-q022,"When outsourcing information management functions, organisations can:",Transfer control but not accountability,added,,verified,Transfer control but not accountability,264,251,
DAMA Practice Attempts,DAMA Attempt 2,23,dama-attempt-2-q023,"Apart from security requirements internal to the organisation, what other strategic goals should a Data Security Management system address?",Regulatory requirements for privacy and confidentiality AND Privacy and Confidentiality needs of all stakeholders,duplicate,chapter-7-q004,duplicate,,,,Semantic duplicate of an existing or retained DSP question.
DAMA Practice Attempts,DAMA Attempt 2,26,dama-attempt-2-q026,A Data Integration approach that updates a Data Warehouse with small changes from Operational systems is called:,CDC,duplicate,dsp1-q012,duplicate,,,,Semantic duplicate of an existing or retained DSP question.
DAMA Practice Attempts,DAMA Attempt 2,27,dama-attempt-2-q027,One of the key differences between operational systems and data warehouses is:,Operational systems focus on current data; data warehouses contain historical data,added,,verified,Operational systems focus on current data; data warehouses contain historical data,386,366,
DAMA Practice Attempts,DAMA Attempt 2,29,dama-attempt-2-q029,"When performing an evaluation of analytic applications, which of the following questions is least relevant to identify the level of effort needed?","Annual costs such as license, maintenance, etc.",excluded,,excluded_unverifiable,,,,The supplied DMBOK describes analytic applications but does not support the source’s “least relevant” cost judgment as a testable rule.
DAMA Practice Attempts,DAMA Attempt 2,32,dama-attempt-2-q032,Plant Equipment is an example of:,Master Data,added,,verified,Master Data,357,338,
DAMA Practice Attempts,DAMA Attempt 2,33,dama-attempt-2-q033,Reference Data:,Usually has fewer attributes than Master Data,added,,verified,Usually has fewer attributes than Master Data,352,333,
DAMA Practice Attempts,DAMA Attempt 2,34,dama-attempt-2-q034,"According to the DMBOK, the system that contains the best version of the Master Data is the:",System of record,duplicate,dsp3-q035,duplicate,,,,Semantic duplicate of an existing or retained DSP question.
DAMA Practice Attempts,DAMA Attempt 2,35,dama-attempt-2-q035,Which of the following statements regarding a value domain is FALSE?,Value domains are defined by external standard organizations,added,,verified,Value domains are defined by external standard organizations,"352, 356","333, 337",
DAMA Practice Attempts,DAMA Attempt 2,36,dama-attempt-2-q036,The library of information about our data (our metadata) is built so that:,All of these,added,,verified,All of these,418,397,
DAMA Practice Attempts,DAMA Attempt 2,38,dama-attempt-2-q038,What would you not expect to find in the Metadata repository?,Data storage devices,added,,verified,Data storage devices,431,408,
DAMA Practice Attempts,DAMA Attempt 2,39,dama-attempt-2-q039,We do not expect to consult the Metadata repository when:,Updating the operating system that the Master Data management toolset is running on,excluded,,excluded_source_conflict,,,,"DMBOK operational metadata includes patch and version-maintenance information, so excluding operating-system changes from repository consultation is not reliably supported."
DAMA Practice Attempts,DAMA Attempt 2,40,dama-attempt-2-q040,A business perspective product in the Metadata repository is:,Data Glossary,added,,verified,Data Glossary,437,423,
DAMA Practice Attempts,DAMA Attempt 3,1,dama-attempt-3-q001,Which of these are NOT true of Data Governance?,A DG initiative should always be led by the IT department,added,,verified,A DG initiative should always be led by the IT department,94,69,
DAMA Practice Attempts,DAMA Attempt 3,4,dama-attempt-3-q004,Which of these does NOT characterize an effective data steward?,Is a highly experienced technical expert in a variety of data management disciplines & tools,added,,verified,Is a highly experienced technical expert in a variety of data management disciplines & tools,"76, 77","78, 79",
DAMA Practice Attempts,DAMA Attempt 3,9,dama-attempt-3-q009,"In 2009, ARMA International published GARP for managing records and information. GARP stands for:",Generally Acceptable Recordkeeping Principles,added,,verified,Generally Acceptable Recordkeeping Principles,306,290,
DAMA Practice Attempts,DAMA Attempt 3,10,dama-attempt-3-q010,Documents and records should be classified based on the _______ level of confidentiality for information found in the record.,Highest,added,,verified,Highest,329,312,Truncated source stem reconstructed from the rendered page and checked against DMBOK; the keyed answer is unchanged.
DAMA Practice Attempts,DAMA Attempt 3,12,dama-attempt-3-q012,Dimension tables:,Have many columns but few rows,added,,verified,Have many columns but few rows,139,138,
DAMA Practice Attempts,DAMA Attempt 3,14,dama-attempt-3-q014,All of the following are TRUE statements on relationship types except:,A one-to-many relationship says that a child entity may have one or more parent entities,added,,verified,A one-to-many relationship says that a child entity may have one or more parent entities,132,132,
DAMA Practice Attempts,DAMA Attempt 3,16,dama-attempt-3-q016,Which of these is NOT a typical activity in Data Quality Management?,Enterprise Data Modelling,added,,verified,Enterprise Data Modelling,451,426,
DAMA Practice Attempts,DAMA Attempt 3,17,dama-attempt-3-q017,Data quality measurements can be taken at three levels of granularity. They are:,"Data element value, data instance or record, and data set",added,,verified,"Data element value, data instance or record, and data set",481,467,
DAMA Practice Attempts,DAMA Attempt 3,20,dama-attempt-3-q020,Which of these statements is true?,Data Quality Management is a continuous process,added,,verified,Data Quality Management is a continuous process,450,"425, 435",
DAMA Practice Attempts,DAMA Attempt 3,21,dama-attempt-3-q021,A RACI matrix is a useful tool to support the ___ in an outsourced arrangement.,Segregation of duties,added,,verified,Segregation of duties,264,251,
DAMA Practice Attempts,DAMA Attempt 3,24,dama-attempt-3-q024,A CRUD matrix helps organisations map responsibilities for data changes in the business process work flow. CRUD stands for,"Create, Read, Update, Delete",added,,verified,"Create, Read, Update, Delete",258,248,
DAMA Practice Attempts,DAMA Attempt 3,25,dama-attempt-3-q025,Which of the following define the data security touch points in an organisation?,Business rules and process workflow,added,,verified,Business rules and process workflow,246,236,
DAMA Practice Attempts,DAMA Attempt 3,28,dama-attempt-3-q028,You need to discover possible relationships or to show data patterns in an exploratory fashion when you do not necessarily have a specific question to ask. What kind of data tool would you use to identify patterns of data using various algorithms?,Data Mining,duplicate,dsp1-q036,duplicate,,,,Semantic duplicate of an existing or retained DSP question.
DAMA Practice Attempts,DAMA Attempt 3,29,dama-attempt-3-q029,Which approach is considered most effective when supporting multi- dimensional business report requests?,OLAP,added,,verified,OLAP,407,384,
DAMA Practice Attempts,DAMA Attempt 3,31,dama-attempt-3-q031,Which of the following is NOT a primary Master Data Management area of focus?,Producing read only versions of key data items,added,,verified,Producing read only versions of key data items,360,341,
DAMA Practice Attempts,DAMA Attempt 3,33,dama-attempt-3-q033,A strong argument for pursuing a Reference Data and/or Master Data management initiative is:,"By centralizing the management of Reference and Master data, the organization can conform critical data needed for analysis",added,,verified,"By centralizing the management of Reference and Master data, the organization can conform critical data needed for analysis",350,331,
DAMA Practice Attempts,DAMA Attempt 3,35,dama-attempt-3-q035,Reference data:,Is used to categorize and classify other data,duplicate,dama-attempt-1-q033,internal_duplicate,,,,Equivalent stem/answer already retained from another attempt.
DAMA Practice Attempts,DAMA Attempt 3,37,dama-attempt-3-q037,We would expect to consult the Metadata Library when:,Assessing the impact of change,added,,verified,Assessing the impact of change,"440, 441","416, 419",
DAMA Practice Attempts,DAMA Attempt 3,39,dama-attempt-3-q039,Metadata repository processes will not include:,"Selecting Data Management Library software, search, and storage technologies",excluded,,excluded_ambiguous,,,,Metadata architecture and tool selection are implementation activities; the wording “repository processes will not include” is too ambiguous for one DMBOK answer.
DAMA Practice Attempts,DAMA Attempt 3,40,dama-attempt-3-q040,Which of the following is a Meta-Data scheme focused specifically on documents?,Preservation Meta-Data,duplicate,dsp1-q015,duplicate,,,,Semantic duplicate of an existing or retained DSP question.
DAMA Practice Attempts,DAMA Attempt 4,3,dama-attempt-4-q003,"When new governmental and industry regulations are formulated and enacted, Data Governance plays a key role in the process of identifying the data and information components for compliance. What do you see as their most important role in any regulatory compliance project?","Working with business and technical leadership to find the best answers to a standard set of regulatory compliance questions (How, Why, When, etc)",added,,verified,"Working with business and technical leadership to find the best answers to a standard set of regulatory compliance questions (How, Why, When, etc)",87,89,
DAMA Practice Attempts,DAMA Attempt 4,5,dama-attempt-4-q005,"In the Information Management Lifecycle, the Data Governance Activity 'Define the Data Governance Framework' is considered in which Lifecycle stage?",Plan,excluded,,excluded_unverifiable,,,,The “Information Management Lifecycle” stage labels in this source are not defined in the supplied DMBOK2.
DAMA Practice Attempts,DAMA Attempt 4,6,dama-attempt-4-q006,Which of the following are primary deliverables of proper document and record management?,"Managed records in many media formats, e-discovery records, policies and procedures, contracts and financial documents",added,,verified,"Managed records in many media formats, e-discovery records, policies and procedures, contracts and financial documents",304,288,
DAMA Practice Attempts,DAMA Attempt 4,7,dama-attempt-4-q007,A document management system is an application used to track and store electronic documents and electronic images of paper documents which provides the following capabilities:,"Storage, versioning, security, meta-data management, indexing and retrieval",added,,verified,"Storage, versioning, security, meta-data management, indexing and retrieval",330,313,
DAMA Practice Attempts,DAMA Attempt 4,10,dama-attempt-4-q010,An umbrella term for any classification or controlled vocabulary is:,Taxonomy,duplicate,dsp1-q009,duplicate,,,,Semantic duplicate of an existing or retained DSP question.
DAMA Practice Attempts,DAMA Attempt 4,11,dama-attempt-4-q011,In a non-identifying relationship:,The primary key of the parent entity becomes a foreign key in the child entity,added,,verified,The primary key of the parent entity becomes a foreign key in the child entity,135,134,
DAMA Practice Attempts,DAMA Attempt 4,13,dama-attempt-4-q013,Components of logical data models include:,All of the above,added,,verified,All of the above,124,124,
DAMA Practice Attempts,DAMA Attempt 4,25,dama-attempt-4-q025,Which of these statements best defines Data Security Management?,"The planning, development, and execution of security policies and procedures to provide proper authentication, authorization, access, and auditing of data and information assets",duplicate,dama-attempt-1-q023,internal_duplicate,,,,Equivalent stem/answer already retained from another attempt.
DAMA Practice Attempts,DAMA Attempt 4,40,dama-attempt-4-q040,The role of the Physical data model in the Metadata repository is:,To describe how and where our data is stored in our systems applications or packages,duplicate,dsp1-q021,duplicate,,,,Semantic duplicate of an existing or retained DSP question.
DAMA Practice Attempts,DAMA Attempt 5,12,dama-attempt-5-q012,Which of these statements has the most meaningful relationship label?,An order is composed of order lines,added,,verified,An order is composed of order lines,154,152,
DAMA Practice Attempts,DAMA Attempt 5,18,dama-attempt-5-q018,Which of the following is the best example of the data quality dimension of 'consistency'?,All the records in the CRM have been accounted for in the data warehouse,added,,corrected,The phone numbers in the customer file do not adhere to the standard format,458,430,The source marker identifies a completeness example. DMBOK defines consistency to include consistent representation and format; the phone-number format option is the supported answer.
DAMA Practice Attempts,DAMA Attempt 5,21,dama-attempt-5-q021,Which of these are characteristics of an effective data security policy?,"The defined procedures ensure that the right people can use and update data in the right way, and that all inappropriate access and update is restricted",added,,verified,"The defined procedures ensure that the right people can use and update data in the right way, and that all inappropriate access and update is restricted",218,210,
DAMA Practice Attempts,DAMA Attempt 5,24,dama-attempt-5-q024,What is the role of the Data Governance Council in defining an Information Security policy?,The Data Governance Council should review and approve the high-level Data Security Policy,added,,verified,The Data Governance Council should review and approve the high-level Data Security Policy,248,238,
DAMA Practice Attempts,DAMA Attempt 5,38,dama-attempt-5-q038,What type of Meta-Data provides developers and administrators with knowledge and information about systems?,Technical Operational Meta-Data,added,,corrected,Technical Metadata,423,400,The source option combines two DMBOK metadata categories. The DMBOK-supported term for system/structure details is Technical Metadata; source wording is retained in provenance.
DAMA Practice Attempts,DAMA Attempt 5,39,dama-attempt-5-q039,The role of the Conceptual data model in the Metadata repository is:,To summarize the key data subject areas for a business area at a high level of abstraction to enable the major data concepts to be understood,duplicate,dsp1-q013,duplicate,,,,Semantic duplicate of an existing or retained DSP question.
DAMA Practice Attempts,DAMA Attempt 6,20,dama-attempt-6-q020,Top down' and 'bottom up' data analysis and profiling is best done in concert because:,It balances business relevance and the actual state of the data,added,,verified,It balances business relevance and the actual state of the data,492,461,
DAMA Practice Attempts,DAMA Attempt 6,27,dama-attempt-6-q027,Which of the following is not a good example of BI?,Statutory reporting to a Regulatory Body,added,,verified,Statutory reporting to a Regulatory Body,383,363,
DAMA Practice Attempts,DAMA Attempt 6,28,dama-attempt-6-q028,Critical to the incremental development of the data warehouse is:,A strong release management process,added,,verified,A strong release management process,399,378,
DAMA Practice Attempts,DAMA Attempt 6,36,dama-attempt-6-q036,What is the difference between an Industry and a Consensus Meta-Data Standard?,The terms are used interchangeably to describe the same concept,excluded,,excluded_unverifiable,,,,The supplied DMBOK does not define “Industry” and “Consensus” metadata standards as interchangeable categories.
DAMA Practice Attempts,DAMA Attempt 7,2,dama-attempt-7-q002,What Organization Structure should set the overall direction for Data Governance?,Data Governance Council,duplicate,dsp1-q033,duplicate,,,,Semantic duplicate of an existing or retained DSP question.
DAMA Practice Attempts,DAMA Attempt 7,5,dama-attempt-7-q005,Who is most responsible for communicating and promoting awareness on the value of Data Governance in the organization?,Everyone in the Data Management Community,added,,verified,Everyone in the Data Management Community,85,81,
DAMA Practice Attempts,DAMA Attempt 7,7,dama-attempt-7-q007,The needs of data protection require us to ensure that:,"Data is processed only in ways compatible with the intended and communicated use it was collected for, and respects the consent of the data subject",added,,verified,"Data is processed only in ways compatible with the intended and communicated use it was collected for, and respects the consent of the data subject",54,56,
DAMA Practice Attempts,DAMA Attempt 7,29,dama-attempt-7-q029,A comparatively new architectural approach is where volatile data is provisioned in a data warehouse structure to provide transactional systems with a combination of historical and near real-time data to meet customer needs. This is a definition of:,Active Data Warehousing,added,,verified,Active Data Warehousing,394,373,
DAMA Practice Attempts,DAMA Attempt 7,31,dama-attempt-7-q031,Which one of the following statements is true?,Master Data Management requires techniques for splitting or merging an instance of a business entity,added,,verified,Master Data Management requires techniques for splitting or merging an instance of a business entity,360,341,
